Order,ID,Theatre,Name,Original_Revival,Play_Musical,Genre,Sub_Genre,Opening,Closing,Performance Count,Cast Size,Capacity
908,TheGreenBird2000,Cort ,The Green Bird,Original,Play,Fantasy,Play with music,"Apr 18, 2000","Jun 04, 2000",56,21,1084
909,"Wilder,Wilder,Wilder1993",Circle in the Square ,"Wilder, Wilder, Wilder",Original,Play,One Act,,"Apr 21, 1993","May 16, 1993",30,23,840
910,TheHeidiChronicles1989,Gerald Schoenfeld ,The Heidi Chronicles,Original,Play,,,"Mar 09, 1989","Sep 01, 1990",622,11,1079
911,TheHeidiChronicles2015,Music Box ,The Heidi Chronicles,Revival,Play,,,"Mar 19, 2015","May 03, 2015",53,11,1009
912,TheHeiress1995,Cort ,The Heiress,Revival,Play,Drama,,"Mar 09, 1995","Dec 31, 1995",340,13,1084
913,TheHeiress2012,Walter Kerr ,The Heiress,Revival,Play,Drama,,"Nov 01, 2012","Feb 09, 2013",117,11,945
914,TheHerbalBed1998,Eugene O'Neill ,The Herbal Bed,Original,Play,,,"Apr 16, 1998","Apr 26, 1998",13,12,1066
915,TheHighRollersSocialandPleasureClub1992,Helen Hayes ,The High Rollers Social and Pleasure Club,Original,Musical,Revue,,"Apr 21, 1992","May 02, 1992",13,12,597
916,TheHistoryBoys2006,Broadhurst ,The History Boys,Original,Play,,,"Apr 23, 2006","Oct 01, 2006",185,17,1186
917,TheHomecoming1991,Criterion Center Stage Right,The Homecoming,Revival,Play,,,"Oct 27, 1991","Dec 08, 1991",49,6,499
918,TheHomecoming2007,Cort ,The Homecoming,Revival,Play,,,"Dec 16, 2007","Apr 13, 2008",137,9,1084
919,TheHouseofBlueLeaves1986,Vivian Beaumont ,The House of Blue Leaves,Original,Play,Comedy,,"Apr 29, 1986","Mar 15, 1987",398,14,1080
920,TheHouseofBlueLeaves2011,Walter Kerr ,The House of Blue Leaves,Revival,Play,Comedy,,"Apr 25, 2011","Jun 25, 2011",72,14,945
921,TheHumanComedy1984,Bernard B. Jacobs ,The Human Comedy,Original,Musical,Opera,,"Apr 05, 1984","Apr 15, 1984",13,30,1078
922,TheHumans2016,Gerald Schoenfeld ,The Humans,Original,Play,,,"Feb 18, 2016","Jan 15, 2017",365,11,1079
923,TheIcemanCometh1985,Lunt-Fontanne ,The Iceman Cometh,Revival,Play,Drama,,"Sep 29, 1985","Dec 01, 1985",55,23,1519
924,TheIcemanCometh1999,Brooks Atkinson ,The Iceman Cometh,Revival,Play,Drama,,"Apr 08, 1999","Jul 17, 1999",102,24,1094
925,TheMolièreComedies1995,Criterion Center Stage Right,The Molière Comedies ,Revival,Play,Farce,,"Feb 02, 1995","Mar 26, 1995",61,14,499
926,TheImportanceofBeingEarnest2011,American Airlines ,The Importance of Being Earnest,Revival,Play,Comedy,,"Jan 13, 2011","Jun 26, 2011",189,13,740
927,TheInventionofLove2001,Lyceum ,The Invention of Love,Original,Play,Drama,,"Mar 29, 2001","Jun 30, 2001",108,22,922
928,TheJudasKiss1998,Broadhurst ,The Judas Kiss,Original,Play,Drama,,"Apr 29, 1998","Aug 01, 1998",103,10,1186
929,TheKentuckyCycle1993,Bernard B. Jacobs ,The Kentucky Cycle,Original,Play,,,"Nov 14, 1993","Dec 12, 1993",33,22,1078
930,TheKingandI1985,Broadway ,The King and I,Revival,Musical,Comedy,Drama,"Jan 07, 1985","Jun 30, 1985",191,49,1761
931,TheKingandI1996,Neil Simon ,The King and I,Revival,Musical,Comedy,Drama,"Apr 11, 1996","Feb 22, 1998",780,52,1467
932,TheKingandI2015,Vivian Beaumont ,The King and I,Revival,Musical,Comedy,Drama,"Apr 16, 2015","Jun 26, 2016",499,51,1080
933,TheLastNightofBallyhoo1997,Helen Hayes ,The Last Night of Ballyhoo,Original,Play,Comedy,,"Feb 27, 1997","Jun 28, 1998",556,11,597
934,TheLastShip2014,Neil Simon ,The Last Ship,Original,Musical,,,"Oct 26, 2014","Jan 24, 2015",105,29,1467
935,TheLieutenantofInishmore2006,Lyceum ,The Lieutenant of Inishmore,Original,Play,Comedy,Satire,"May 03, 2006","Sep 03, 2006",142,8,922
936,TheLife1997,Ethel Barrymore ,The Life,Original,Musical,,,"Apr 26, 1997","Jun 07, 1998",466,24,1096
937,TheLifeandAdventuresofNicholasNickleby1986,Broadhurst ,The Life and Adventures of Nicholas Nickleby,Revival,Play,,,"Aug 24, 1986","Oct 12, 1986",29,36,1186
938,TheLightinthePiazza2005,Vivian Beaumont ,The Light in the Piazza,Original,Musical,,,"Apr 18, 2005","Jul 02, 2006",504,18,1080
939,TheLioninWinter1999,Criterion Center Stage Right,The Lion in Winter,Revival,Play,,,"Mar 11, 1999","May 30, 1999",93,15,499
940,TheLittleDogLaughed2006,Cort ,The Little Dog Laughed,Original,Play,Comedy,,"Nov 13, 2006","Feb 18, 2007",112,6,1084
941,TheLittleFoxes1997,Vivian Beaumont ,The Little Foxes,Revival,Play,Drama,,"Apr 27, 1997","Jun 15, 1997",57,17,1080
942,TheLittleFoxes2017,Samuel J. Friedman ,The Little Foxes,Revival,Play,Drama,,"Apr 19, 2017","Jul 02, 2017",87,16,650
943,TheLittleMermaid2008,Lunt-Fontanne ,The Little Mermaid,Original,Musical,Fantasy,,"Jan 10, 2008","Aug 30, 2009",685,37,1519
944,TheLonesomeWest1999,Lyceum ,The Lonesome West,Original,Play,,,"Apr 27, 1999","Jun 13, 1999",55,7,922
946,TheLookofLove2003,Brooks Atkinson ,The Look of Love,Original,Musical,Revue,,"May 04, 2003","Jun 15, 2003",49,13,1094
947,TheLovesofAnatol1985,Circle in the Square ,The Loves of Anatol,Original,Play,,,"Mar 06, 1985","Apr 14, 1985",46,14,840
948,TheLyons2012,Cort ,The Lyons,Original,Play,Comedy,,"Apr 23, 2012","Jul 01, 2012",80,10,1084
949,TheManWhoCametoDinner2000,American Airlines ,The Man Who Came to Dinner,Revival,Play,Comedy,,"Jul 27, 2000","Oct 08, 2000",85,34,740
950,TheManWhoHadAlltheLuck2002,American Airlines ,The Man Who Had All the Luck,Revival,Play,Drama,,"May 01, 2002","Jun 30, 2002",62,15,740
951,TheMarriageofFigaro1985,Circle in the Square ,The Marriage of Figaro,Original,Play,Comedy,,"Oct 10, 1985","Dec 15, 1985",77,23,840
952,TheMasterBuilder1992,Belasco ,The Master Builder,Revival,Play,Drama,,"Mar 19, 1992","Apr 26, 1992",44,12,1018
953,TheMerchantofVenice1989,Richard Rodgers ,The Merchant of Venice,Revival,Play,Comedy,,"Dec 19, 1989","Mar 10, 1990",84,31,1400
954,TheMerchantofVenice2010,Broadhurst ,The Merchant of Venice,Revival,Play,Comedy,,"Nov 13, 2010","Feb 20, 2011",73,31,1186
955,TheMikado1987,August Wilson ,The Mikado,Revival,Musical,Operetta,,"Apr 02, 1987","May 03, 1987",37,29,1228
956,TheMiracleWorker2010,Circle in the Square ,The Miracle Worker,Revival,Play,Drama,,"Mar 03, 2010","Apr 04, 2010",28,17,840
957,TheMiser1990,Circle in the Square ,The Miser,Revival,Play,Comedy,,"Oct 11, 1990","Dec 30, 1990",93,16,840
958,TheMostHappyFella1992,Booth ,The Most Happy Fella,Revival,Musical,Comedy,,"Feb 13, 1992","Aug 30, 1992",229,30,766
959,TheMotherfuckerwiththeHat2011,Gerald Schoenfeld ,The Motherfucker with the Hat,Original,Play,Comedy,,"Apr 11, 2011","Jul 17, 2011",112,8,1079
960,TheMountaintop2011,Bernard B. Jacobs ,The Mountaintop,Original,Play,Drama,,"Oct 13, 2011","Jan 22, 2012",117,4,1078
961,TheMusicMan2000,Neil Simon ,The Music Man,Revival,Musical,Comedy,,"Apr 27, 2000","Dec 30, 2001",699,43,1467
962,TheMusicalComedyMurdersof19401987,Longacre ,The Musical Comedy Murders of 1940,Original,Play,Comedy,Melodrama,"Apr 06, 1987","Aug 01, 1987",136,14,1091
963,TheMysteryofCharlesDickens2002,Belasco ,The Mystery of Charles Dickens,Original,Play,Comedy,Solo,"Apr 25, 2002","May 12, 2002",20,1,1018
964,TheMysteryofEdwinDrood1985,Imperial ,The Mystery of Edwin Drood,Original,Musical,Comedy,,"Dec 02, 1985","May 16, 1987",608,26,1443
965,TheMysteryofEdwinDrood2012,Studio 54,The Mystery of Edwin Drood,Revival,Musical,,,"Nov 13, 2012","Mar 10, 2013",136,22,1006
966,TheNance2013,Lyceum ,The Nance,Original,Play,Drama,,"Apr 15, 2013","Aug 11, 2013",136,12,922
967,TheNerd1987,Helen Hayes ,The Nerd,Original,Play,Comedy,,"Mar 22, 1987","Apr 10, 1988",441,9,597
968,TheNightoftheIguana1988,Circle in the Square ,The Night of the Iguana,Revival,Play,Drama,,"Jun 26, 1988","Sep 04, 1988",81,15,840
969,TheNightoftheIguana1996,Criterion Center Stage Right,The Night of the Iguana,Revival,Play,Drama,,"Mar 21, 1996","May 19, 1996",69,20,499
970,TheNormalHeart2011,John Golden ,The Normal Heart,Original,Play,Drama,,"Apr 27, 2011","Jul 10, 2011",86,13,805
971,TheNormanConquests:LivingTogether2009,Circle in the Square ,The Norman Conquests: Living Together,Revival,Play,Comedy,,"Apr 25, 2009","Jul 26, 2009",28,10,840
972,TheNormanConquests:RoundandRoundtheGarden2009,Circle in the Square ,The Norman Conquests: Round and Round the Garden,Revival,Play,Comedy,,"Apr 23, 2009","Jul 26, 2009",40,10,840
973,TheNormanConquests:TableManners2009,Circle in the Square ,The Norman Conquests: Table Manners,Revival,Play,Comedy,,"Apr 24, 2009","Jul 26, 2009",41,10,840
974,TheOctetteBridgeClub1985,Music Box ,The Octette Bridge Club,Original,Play,,,"Mar 05, 1985","Mar 23, 1985",24,12,1009
975,TheOddCouple1985,Broadhurst ,The Odd Couple,Revival,Play,Comedy,,"Jun 11, 1985","Feb 23, 1986",295,11,1186
976,TheOddCouple2005,Brooks Atkinson ,The Odd Couple,Revival,Play,Comedy,,"Oct 27, 2005","Jun 04, 2006",249,11,1094
977,TheOldNeighborhood1997,Booth ,The Old Neighborhood,Original,Play,,,"Nov 19, 1997","May 10, 1998",197,8,766
978,TheOtherPlace2013,Samuel J. Friedman ,The Other Place,Original,Play,Thriller,,"Jan 10, 2013","Mar 03, 2013",61,7,650
979,ThePajamaGame2006,American Airlines ,The Pajama Game,Revival,Musical,Comedy,,"Feb 23, 2006","Jun 17, 2006",129,23,740
980,ThePee-weeHermanShow2010,Stephen Sondheim ,The Pee-wee Herman Show,Original,Play,Comedy,Puppets,"Nov 11, 2010","Jan 02, 2011",62,19,1055
981,ThePeopleinthePicture2011,Studio 54,The People in the Picture,Original,Musical,Comedy,Drama,"Apr 28, 2011","Jun 19, 2011",60,23,1006
982,ThePerformers2012,Longacre ,The Performers,Original,Play,Comedy,,"Nov 14, 2012","Nov 18, 2012",6,10,1091
983,ThePetition1986,John Golden ,The Petition,Original,Play,,,"Apr 24, 1986","Jun 29, 1986",75,2,805
984,ThePhilanthropist2009,American Airlines ,The Philanthropist,Revival,Play,Comedy,,"Apr 26, 2009","Jun 28, 2009",73,10,740
985,ThePianoLesson1990,Walter Kerr ,The Piano Lesson,Original,Play,,,"Apr 16, 1990","Jan 27, 1991",328,12,945
986,ThePillowman2005,Booth ,The Pillowman,Original,Play,Drama,,"Apr 10, 2005","Sep 18, 2005",185,11,766
987,ThePirateQueen2007,Lyric ,The Pirate Queen,Original,Musical,Drama,,"Apr 05, 2007","Jun 17, 2007",85,42,1938
988,ThePitmenPainters2010,Samuel J. Friedman ,The Pitmen Painters,Original,Play,Drama,,"Sep 30, 2010","Dec 12, 2010",86,11,650
989,ThePlay'stheThing1995,Criterion Center Stage Right,The Play's the Thing,Revival,Play,Comedy,,"Jul 09, 1995","Aug 17, 1995",45,11,499
990,ThePresent2017,Ethel Barrymore ,The Present,Original,Play,Drama,,"Jan 08, 2017","Mar 19, 2017",81,16,1096
991,ThePrice1992,Criterion Center Stage Right,The Price,Revival,Play,Drama,,"Jun 10, 1992","Jul 19, 1992",46,7,499
992,ThePrice1999,Bernard B. Jacobs ,The Price,Revival,Play,Drama,,"Nov 15, 1999","Mar 05, 2000",128,7,1078
993,ThePrice2017,American Airlines ,The Price,Revival,Play,Drama,,"Mar 16, 2017","May 14, 2017",69,7,740
994,TheProducers2001,St. James ,The Producers,Original,Musical,Comedy,,"Apr 19, 2001","Apr 22, 2007",2502,27,1709
995,TheRainmaker1999,Brooks Atkinson ,The Rainmaker,Revival,Play,Romance,,"Nov 11, 1999","Jan 23, 2000",74,18,1094
996,TheRealInspectorHoundandTheFifteenMinuteHamlet1992,Criterion Center Stage Right,The Real Inspector Hound and The Fifteen Minute Hamlet,Original,Play,,,"Aug 13, 1992","Oct 04, 1992",61,12,499
997,TheRealThing1984,Gerald Schoenfeld ,The Real Thing,Original,Play,Drama,,"Jan 05, 1984","May 12, 1985",566,11,1079
998,TheRealThing2000,Ethel Barrymore ,The Real Thing,Revival,Play,Drama,,"Apr 17, 2000","Aug 13, 2000",136,11,1096
999,TheRealThing2014,American Airlines ,The Real Thing,Revival,Play,Drama,,"Oct 30, 2014","Jan 04, 2015",76,11,740
1000,TheRealisticJoneses2014,Lyceum ,The Realistic Joneses,Original,Play,Comedy,,"Apr 06, 2014","Jul 06, 2014",105,6,922
1001,TheRedShoes1993,Gershwin ,The Red Shoes,Original,Musical,,,"Dec 16, 1993","Dec 19, 1993",5,37,1933
1002,TheRehearsal1996,Criterion Center Stage Right,The Rehearsal,Revival,Play,,,"Nov 21, 1996","Jan 10, 1997",55,14,499
1003,TheRetreatFromMoscow2003,Booth ,The Retreat From Moscow,Original,Play,Drama,,"Oct 23, 2003","Feb 29, 2004",148,6,766
1004,TheRideDownMt.Morgan2000,Ambassador ,The Ride Down Mt. Morgan,Original,Play,Drama,,"Apr 09, 2000","Jul 23, 2000",121,11,1125
1005,TheRink1984,Al Hirschfeld ,The Rink,Original,Musical,,,"Feb 09, 1984","Aug 04, 1984",204,14,1424
1006,TheRiseandFallofLittleVoice1994,Neil Simon ,The Rise and Fall of Little Voice,Original,Play,,,"May 01, 1994","May 08, 1994",9,11,1467
1007,TheRitz2007,Studio 54,The Ritz,Revival,Play,Comedy,Farce,"Oct 11, 2007","Dec 09, 2007",69,24,1006
1008,TheRivals2004,Vivian Beaumont ,The Rivals,Revival,Play,Comedy,,"Dec 16, 2004","Jan 23, 2005",45,20,1080
1009,TheRiver2014,Circle in the Square ,The River,Original,Play,Drama,,"Nov 16, 2014","Feb 08, 2015",97,5,840
1010,TheRoadtoMecca2012,American Airlines ,The Road to Mecca,Original,Play,Drama,,"Jan 17, 2012","Mar 04, 2012",56,6,740
1011,TheRockyHorrorShow2000,Circle in the Square ,The Rocky Horror Show,Revival,Musical,Comedy,,"Nov 15, 2000","Jan 06, 2002",437,17,840
1012,TheRoseTattoo1995,Circle in the Square ,The Rose Tattoo,Revival,Play,Drama,,"Apr 30, 1995","Jul 02, 1995",73,23,840
1013,TheRoyalFamily2009,Samuel J. Friedman ,The Royal Family,Revival,Play,Comedy,,"Oct 08, 2009","Dec 13, 2009",77,17,650
1014,TheScarletPimpernel1997,Minskoff ,The Scarlet Pimpernel,Original,Musical,Comedy,,"Nov 09, 1997","Jan 02, 2000",772,41,1710
1016,TheSchoolforScandal1995,Lyceum ,The School for Scandal,Revival,Play,Comedy,,"Nov 19, 1995","Dec 17, 1995",33,28,922
1017,TheScottsboroBoys2010,Lyceum ,The Scottsboro Boys,Original,Musical,Drama,,"Oct 31, 2010","Dec 12, 2010",49,17,922
1018,TheSeafarer2007,Booth ,The Seafarer,Original,Play,,,"Dec 06, 2007","Mar 30, 2008",133,7,766
1019,TheSeagull1992,Lyceum ,The Seagull,Revival,Play,Drama,Comedy,"Nov 29, 1992","Jan 10, 1993",49,25,922
1020,TheSeagull2008,Walter Kerr ,The Seagull,Revival,Play,Comedy,Drama,"Oct 02, 2008","Dec 21, 2008",94,17,945
1021,TheSearchforSignsofIntelligentLifeintheUniverse1985,Gerald Schoenfeld ,The Search for Signs of Intelligent Life in the Universe,Original,Play,Solo,,"Sep 26, 1985","Oct 05, 1986",391,1,1079
1022,TheSearchforSignsofIntelligentLifeintheUniverse2000,Booth ,The Search for Signs of Intelligent Life in the Universe,Revival,Play,Solo,,"Nov 16, 2000","May 20, 2001",184,1,766
1023,TheSecretGarden1991,St. James ,The Secret Garden,Original,Musical,,,"Apr 25, 1991","Jan 03, 1993",709,30,1709
1024,TheSecretRapture1989,Ethel Barrymore ,The Secret Rapture,Original,Play,,,"Oct 26, 1989","Nov 04, 1989",12,9,1096
1025,TheShadowBox1994,Circle in the Square ,The Shadow Box,Revival,Play,Drama,,"Nov 20, 1994","Jan 01, 1995",49,15,840
1026,TheShowOff1992,Criterion Center Stage Right,The Show Off,Revival,Play,Comedy,,"Nov 05, 1992","Dec 13, 1992",45,12,499
1027,TheSistersRosensweig1993,Ethel Barrymore ,The Sisters Rosensweig,Original,Play,,,"Mar 18, 1993","Jul 16, 1994",556,14,1096
1028,TheSmelloftheKill2002,Helen Hayes ,The Smell of the Kill,Original,Play,Comedy,,"Mar 26, 2002","Apr 28, 2002",40,8,597
1029,TheSnowGeese2013,Samuel J. Friedman ,The Snow Geese,Original,Play,Drama,,"Oct 24, 2013","Dec 14, 2013",60,11,650
1030,TheSongofJacobZulu1993,Gerald Schoenfeld ,The Song of Jacob Zulu,Original,Play,Play with music,,"Mar 24, 1993","May 09, 1993",53,25,1079
1031,TheSoundofMusic1998,Al Hirschfeld ,The Sound of Music,Revival,Musical,Drama,,"Mar 12, 1998","Jun 20, 1999",533,38,1424
1032,TheSpeedofDarkness1991,Belasco ,The Speed of Darkness,Original,Play,,,"Feb 28, 1991","Mar 30, 1991",36,9,1018
1033,TheStoryofMyLife2009,Booth ,The Story of My Life,Original,Musical,,,"Feb 19, 2009","Feb 22, 2009",5,6,766
1034,TheSunshineBoys1997,Lyceum ,The Sunshine Boys,Revival,Play,Comedy,,"Dec 08, 1997","Jun 28, 1998",230,9,922
1035,TheTaleoftheAllergist'sWife2000,Ethel Barrymore ,The Tale of the Allergist's Wife,Original,Play,Comedy,,"Nov 02, 2000","Sep 15, 2002",777,9,1096
1036,TheTapDanceKid1983,Broadhurst ,The Tap Dance Kid,Original,Musical,,,"Dec 21, 1983","Aug 11, 1985",669,31,1186
1037,TheTempest1995,Broadhurst ,The Tempest,Revival,Play,Comedy,,"Nov 01, 1995","Dec 31, 1995",70,23,1186
1038,TheTenthMan1989,Vivian Beaumont ,The Tenth Man,Revival,Play,,,"Dec 10, 1989","Jan 14, 1990",41,17,1080
1039,TheTermsofMySurrender2017,Belasco ,The Terms of My Surrender,Original,Play,Solo,,"Aug 10, 2017","Oct 22, 2017",83,5,1018
1040,TheTestamentofMary2013,Walter Kerr ,The Testament of Mary,Original,Play,Drama,,"Apr 22, 2013","May 05, 2013",16,1,945
1041,TheThreeMusketeers1984,Broadway ,The Three Musketeers,Revival,Musical,,,"Nov 11, 1984","Nov 18, 1984",9,38,1761
1042,TheThreeSisters1996,Lunt-Fontanne ,The Three Sisters,Revival,Play,Drama,Foreign Lang.,"Nov 07, 1996","Nov 13, 1996",5,21,1519
1043,TheThreeSisters1997,Criterion Center Stage Right,The Three Sisters,Revival,Play,Drama,,"Feb 13, 1997","Apr 06, 1997",61,21,499
1044,TheThreepennyOpera2006,Studio 54,The Threepenny Opera,Revival,Musical,Operetta,,"Apr 20, 2006","Jun 25, 2006",77,22,1006
1045,TheTimesTheyAreA-Changin'2006,Brooks Atkinson ,The Times They Are A-Changin',Original,Musical,Dance,,"Oct 26, 2006","Nov 19, 2006",28,19,1094
1046,TheTriptoBountiful2013,Stephen Sondheim ,The Trip to Bountiful,Revival,Play,,,"Apr 23, 2013","Oct 09, 2013",187,14,1055
1047,TheTwilightoftheGolds1993,Booth ,The Twilight of the Golds,Original,Play,,,"Oct 21, 1993","Nov 14, 1993",29,9,766
1048,TheVelocityofAutumn2014,Booth ,The Velocity of Autumn,Original,Play,Comedy,,"Apr 21, 2014","May 04, 2014",16,4,766
1049,TheVerticalHour2006,Music Box ,The Vertical Hour,Original,Play,,,"Nov 30, 2006","Mar 11, 2007",117,9,1009
1050,TheVioletHour2003,Samuel J. Friedman ,The Violet Hour,Original,Play,Drama,,"Nov 06, 2003","Dec 21, 2003",54,8,650
1051,TheVisit1992,Criterion Center Stage Right,The Visit,Revival,Play,Drama,,"Jan 23, 1992","Mar 01, 1992",45,14,499
1052,TheVisit2015,Lyceum ,The Visit,Original,Musical,Drama,,"Apr 23, 2015","Jun 14, 2015",61,20,922
1053,TheWeddingSinger2006,Al Hirschfeld ,The Wedding Singer,Original,Musical,Comedy,,"Apr 27, 2006","Dec 31, 2006",285,28,1424
1054,TheWeir1999,Walter Kerr ,The Weir,Original,Play,Drama,,"Apr 01, 1999","Nov 28, 1999",277,7,945
1055,TheWho'sTommy1993,St. James ,The Who's Tommy,Original,Musical,,,"Apr 22, 1993","Jun 17, 1995",899,31,1709
1056,TheWildParty2000,August Wilson ,The Wild Party,Original,Musical,Drama,,"Apr 13, 2000","Jun 11, 2000",68,24,1228
1057,TheWillRogersFollies1991,Palace ,The Will Rogers Follies,Original,Musical,,,"May 01, 1991","Sep 05, 1993",981,44,1743
1058,TheWinslowBoy2013,American Airlines ,The Winslow Boy,Revival,Play,,,"Oct 17, 2013","Dec 01, 2013",53,15,740
1059,TheWiz1984,Lunt-Fontanne ,The Wiz,Revival,Musical,Comedy,,"May 24, 1984","Jun 03, 1984",13,32,1519
1060,TheWomaninWhite2005,Marquis ,The Woman in White,Original,Musical,Drama,,"Nov 17, 2005","Feb 19, 2006",109,24,1612
1061,TheWomen2001,American Airlines ,The Women,Revival,Play,Comedy,,"Nov 08, 2001","Jan 13, 2002",77,26,740
1062,TheYearofMagicalThinking2007,Booth ,The Year of Magical Thinking,Original,Play,,,"Mar 29, 2007","Aug 25, 2007",144,2,766
1063,TheYoungManfromAtlanta1997,Longacre ,The Young Man from Atlanta,Original,Play,,,"Mar 27, 1997","Jun 08, 1997",84,14,1091
1064,ThisIsOurYouth2014,Cort ,This Is Our Youth,Original,Play,Comedy,,"Sep 11, 2014","Jan 04, 2015",133,5,1084
1065,ThoroughlyModernMillie2002,Marquis ,Thoroughly Modern Millie,Original,Musical,Comedy,,"Apr 18, 2002","Jun 20, 2004",903,35,1612
1066,ThoseWeretheDays1990,Edison ,Those Were the Days,Original,Musical,Revue,,"Nov 07, 1990","Feb 24, 1991",126,9,541
1067,ThouShaltNot2001,Gerald Schoenfeld ,Thou Shalt Not,Original,Musical,,,"Oct 25, 2001","Jan 06, 2002",85,25,1079
1068,ThreeDaysofRain2006,Bernard B. Jacobs ,Three Days of Rain,Original,Play,Drama,,"Apr 19, 2006","Jun 18, 2006",70,5,1078
1069,ThreeMenonaHorse1993,Lyceum ,Three Men on a Horse,Revival,Play,Comedy,,"Apr 13, 1993","May 16, 1993",39,22,922
1070,Thurgood2008,Booth ,Thurgood,Original,Play,Drama,Solo,"Apr 30, 2008","Aug 17, 2008",126,1,766
1071,TimeandtheConways2017,American Airlines ,Time and the Conways,Revival,Play,Play with music,,"Oct 10, 2017","Nov 26, 2017",40,15,740
1072,TimeStandsStill2010,Samuel J. Friedman ,Time Stands Still,Original,Play,Drama,,"Jan 28, 2010","Jan 30, 2011",193,6,650
1073,TimonofAthens1993,Lyceum ,Timon of Athens,Original,Play,Tragedy,,"Nov 04, 1993","Dec 05, 1993",39,35,922
1074,Titanic1997,Lunt-Fontanne ,Titanic,Original,Musical,,,"Apr 23, 1997","Mar 21, 1999",804,43,1519
1075,ToBeOrNotToBe2008,Samuel J. Friedman ,To Be Or Not To Be,Original,Play,,,"Oct 14, 2008","Nov 16, 2008",40,16,650
1076,TopGirls2008,Samuel J. Friedman ,Top Girls,Original,Play,,,"May 07, 2008","Jun 29, 2008",63,10,650
1077,Topdog/Underdog2002,Ambassador ,Topdog / Underdog,Original,Play,Comedy,Drama,"Apr 07, 2002","Aug 11, 2002",144,4,1125
1078,TorchSongTrilogy1982,Helen Hayes ,Torch Song Trilogy,Original,Play,,,"Jun 10, 1982","May 19, 1985",1222,11,597
1079,Translations1995,Gerald Schoenfeld ,Translations,Original,Play,,,"Mar 19, 1995","Apr 09, 1995",25,15,1079
1080,Translations2007,Samuel J. Friedman ,Translations,Revival,Play,,,"Jan 25, 2007","Mar 11, 2007",53,13,650
1081,TriumphofLove1997,Bernard B. Jacobs ,Triumph of Love,Original,Musical,,,"Oct 23, 1997","Jan 04, 1998",85,11,1078
1082,Tru1989,Booth ,Tru,Original,Play,Solo,,"Dec 14, 1989","Sep 01, 1990",297,5,766
1083,TrueWest2000,Circle in the Square ,True West,Original,Play,Drama,,"Mar 02, 2000","Jul 29, 2000",154,6,840
1084,TrulyBlessed1990,Longacre ,Truly Blessed,Original,Musical,,,"Apr 22, 1990","May 20, 1990",33,6,1091
1085,TuckEverlasting2016,Broadhurst ,Tuck Everlasting,Original,Musical,,,"Apr 26, 2016","May 29, 2016",39,29,1186
1086,TwelfthNight1998,Vivian Beaumont ,Twelfth Night,Revival,Play,Comedy,,"Jul 16, 1998","Aug 30, 1998",53,22,1080
1087,TwelfthNight2013,Belasco ,Twelfth Night,Revival,Play,All Male Cast,Comedy,"Nov 10, 2013","Feb 16, 2014",82,16,1018
1088,TwelveAngryMen2004,American Airlines ,Twelve Angry Men,Original,Play,Drama,,"Oct 28, 2004","May 15, 2005",228,17,740
1089,TwentiethCentury2004,American Airlines ,Twentieth Century,Revival,Play,Comedy,,"Mar 25, 2004","Jun 06, 2004",84,16,740
1090,"Twilight:LosAngeles,19921994",Cort ,"Twilight: Los Angeles, 1992",Original,Play,Solo,,"Apr 17, 1994","Jun 19, 1994",72,1,1084
1091,TwoShakespeareanActors1992,Cort ,Two Shakespearean Actors,Original,Play,,,"Jan 16, 1992","Feb 09, 1992",29,27,1084
1092,TwoTrainsRunning1992,Walter Kerr ,Two Trains Running,Original,Play,,,"Apr 13, 1992","Aug 30, 1992",160,9,945
1093,UncleVanya1995,Circle in the Square ,Uncle Vanya,Revival,Play,Drama,,"Feb 23, 1995","Mar 19, 1995",29,12,840
1094,UncleVanya2000,Brooks Atkinson ,Uncle Vanya,Revival,Play,Drama,,"Apr 30, 2000","Jun 11, 2000",49,14,1094
1095,Uptown...It'sHot!1986,Lunt-Fontanne ,Uptown...It's Hot!,Original,Musical,Revue,,"Jan 29, 1986","Feb 16, 1986",24,27,1519
1096,UrbanCowboy2003,Broadhurst ,Urban Cowboy,Original,Musical,,,"Mar 27, 2003","May 18, 2003",60,27,1186
1097,Urinetown2001,Stephen Sondheim ,Urinetown,Original,Musical,Comedy,,"Sep 20, 2001","Jan 18, 2004",965,19,1055
1098,VanyaandSoniaandMashaandSpike2013,John Golden ,Vanya and Sonia and Masha and Spike,Original,Play,Comedy,,"Mar 14, 2013","Aug 25, 2013",189,10,805
1099,VenusinFur2011,Samuel J. Friedman ,Venus in Fur,Original,Play,Drama,,"Nov 08, 2011","Jun 17, 2012",191,4,650
1100,ViaDolorosa1999,Booth ,Via Dolorosa,Original,Play,Solo,,"Mar 18, 1999","Jun 13, 1999",99,1,766
1101,Victor/Victoria1995,Marquis ,Victor / Victoria,Original,Musical,Comedy,,"Oct 25, 1995","Jul 27, 1997",734,34,1612
1102,VincentinBrixton2003,John Golden ,Vincent in Brixton,Original,Play,Drama,,"Mar 06, 2003","May 04, 2003",69,8,805
1103,Violet2014,American Airlines ,Violet,Original,Musical,Drama,,"Apr 20, 2014","Aug 10, 2014",128,16,740
1104,VoicesintheDark1999,Longacre ,Voices in the Dark,Original,Play,Mystery,,"Aug 12, 1999","Oct 10, 1999",64,9,1091
1105,WaitUntilDark1998,Brooks Atkinson ,Wait Until Dark,Revival,Play,Drama,,"Apr 05, 1998","Jun 28, 1998",97,11,1094
