Order,ID,Theatre,Name,Original_Revival,Play_Musical,Genre,Sub_Genre,Opening,Closing,Performance Count,Cast Size,Capacity
760,Smile1986,Lunt-Fontanne ,Smile,Original,Musical,,,"Nov 24, 1986","Jan 03, 1987",48,32,1519
761,SmokeyJoe'sCafe1995,August Wilson ,Smokey Joe's Cafe,Original,Musical,Revue,,"Mar 02, 1995","Jan 16, 2000",2036,13,1228
762,SoLongonLonelyStreet1986,Jack Lawrence ,So Long on Lonely Street,Original,Play,Comedy,,"Apr 03, 1986","May 18, 1986",53,6,865
763,SocialSecurity1986,Ethel Barrymore ,Social Security,Original,Play,Comedy,,"Apr 17, 1986","Mar 22, 1987",388,10,1096
764,SolitaryConfinement1992,Nederlander ,Solitary Confinement,Original,Play,Solo,,"Nov 08, 1992","Nov 29, 1992",25,8,1235
765,SomeAmericansAbroad1990,Vivian Beaumont ,Some Americans Abroad,Original,Play,,,"May 02, 1990","Jun 17, 1990",55,16,1080
766,SomeoneWho'llWatchOverMe1992,Booth ,Someone Who'll Watch Over Me,Original,Play,,,"Nov 23, 1992","Jun 13, 1993",232,6,766
767,SomethingRotten!2015,St. James ,Something Rotten!,Original,Musical,Comedy,,"Apr 22, 2015","Jan 01, 2017",708,29,1709
769,SondheimonSondheim2010,Studio 54,Sondheim on Sondheim,Original,Musical,Revue,,"Apr 22, 2010","Jun 27, 2010",76,12,1006
770,SongandDance1985,Bernard B. Jacobs ,Song and Dance,Original,Musical,,,"Sep 18, 1985","Nov 08, 1986",474,17,1078
771,SoulDoctor2013,Circle in the Square ,Soul Doctor,Original,Musical,,,"Aug 15, 2013","Oct 13, 2013",66,23,840
772,SouthPacific2008,Vivian Beaumont ,South Pacific,Revival,Musical,Drama,,"Apr 03, 2008","Aug 22, 2010",996,40,1080
773,Souvenir2005,Lyceum ,Souvenir,Original,Play,Play with music,,"Nov 10, 2005","Jan 08, 2006",68,4,922
774,Spamalot2005,Shubert ,Spamalot,Original,Musical,Comedy,,"Mar 17, 2005","Jan 11, 2009",1575,26,1460
775,Speed-the-Plow1988,Bernard B. Jacobs ,Speed-the-Plow,Original,Play,,,"May 03, 1988","Dec 31, 1988",279,5,1078
776,Speed-the-Plow2008,Ethel Barrymore ,Speed-the-Plow,Revival,Play,,,"Oct 23, 2008","Feb 22, 2009",140,5,1096
777,Spider-Man:TurnOffTheDark2011,Lyric ,Spider-Man: Turn Off The Dark,Original,Musical,Spectacle,,"Jun 14, 2011","Jan 04, 2014",1066,40,1938
778,SpoilsofWar1988,Music Box ,Spoils of War,Original,Play,,,"Nov 10, 1988","Dec 10, 1988",36,10,1009
779,SpringAwakening2006,Eugene O'Neill ,Spring Awakening,Original,Musical,Drama,,"Dec 10, 2006","Jan 18, 2009",859,19,1066
780,SpringAwakening2015,Brooks Atkinson ,Spring Awakening,Revival,Musical,Drama,Sign Language,"Sep 27, 2015","Jan 24, 2016",135,29,1094
781,Stand-UpTragedy1990,Criterion Center Stage Right,Stand-Up Tragedy,Original,Play,,,"Oct 04, 1990","Oct 16, 1990",13,11,499
782,Stanley1997,Circle in the Square ,Stanley,Original,Play,,,"Feb 20, 1997","Apr 27, 1997",77,12,840
783,Stardust1987,Samuel J. Friedman ,Stardust,Original,Musical,Revue,,"Feb 19, 1987","May 17, 1987",101,10,650
784,StarlightExpress1987,Gershwin ,Starlight Express,Original,Musical,Comedy,,"Mar 15, 1987","Jan 08, 1989",761,42,1933
785,Starmites1989,Criterion Center Stage Right,Starmites,Original,Musical,Comedy,,"Apr 27, 1989","Jun 18, 1989",60,15,499
786,StateFair1996,Music Box ,State Fair,Original,Musical,Comedy,,"Mar 27, 1996","Jun 30, 1996",110,30,1009
787,SteelMagnolias2005,Lyceum ,Steel Magnolias,Original,Play,Drama,,"Apr 04, 2005","Jul 31, 2005",136,9,922
788,SteelPier1997,Richard Rodgers ,Steel Pier,Original,Musical,,,"Apr 24, 1997","Jun 28, 1997",76,34,1400
789,SteppingOut1987,John Golden ,Stepping Out,Original,Play,,,"Jan 11, 1987","Mar 15, 1987",73,16,805
790,StickFly2011,Cort ,Stick Fly,Original,Play,,,"Dec 08, 2011","Feb 26, 2012",93,10,1084
791,StonesinHisPockets2001,John Golden ,Stones in His Pockets,Original,Play,Comedy,,"Apr 01, 2001","Sep 23, 2001",198,4,805
792,StrangeInterlude1985,Nederlander ,Strange Interlude,Revival,Play,Drama,,"Feb 21, 1985","May 05, 1985",63,14,1235
793,StreetCornerSymphony1997,Brooks Atkinson ,Street Corner Symphony,Original,Musical,Revue,,"Nov 24, 1997","Feb 01, 1998",79,11,1094
794,GardenDistrict1995,Circle in the Square ,Garden District,Original,Play,,,"Oct 10, 1995","Nov 05, 1995",31,12,840
795,SummerandSmoke1996,Criterion Center Stage Right,Summer and Smoke,Revival,Play,,,"Sep 05, 1996","Oct 20, 1996",53,24,499
796,SundayintheParkwithGeorge1984,Booth ,Sunday in the Park with George,Original,Musical,,,"May 02, 1984","Oct 13, 1985",604,21,766
797,SundayintheParkwithGeorge2008,Studio 54,Sunday in the Park with George,Revival,Musical,,,"Feb 21, 2008","Jun 29, 2008",149,20,1006
798,SundayintheParkwithGeorge2017,Hudson ,Sunday in the Park with George,Revival,Musical,,,"Feb 23, 2017","Apr 23, 2017",61,23,970
799,SunsetBoulevard1994,Minskoff ,Sunset Boulevard,Original,Musical,Drama,,"Nov 17, 1994","Mar 22, 1997",977,29,1710
800,SunsetBoulevard2017,Palace ,Sunset Boulevard,Revival,Musical,,,"Feb 09, 2017","Jun 25, 2017",138,26,1743
801,SuperiorDonuts2009,Music Box ,Superior Donuts,Original,Play,,,"Oct 01, 2009","Jan 03, 2010",109,14,1009
802,SwanLake1998,Neil Simon ,Swan Lake,Original,Musical,Ballet,,"Oct 08, 1998","Jan 23, 1999",124,45,1467
803,Sweat2017,Studio 54,Sweat,Original,Play,Drama,,"Mar 26, 2017","Jun 25, 2017",105,15,1006
804,SweeneyTodd1989,Circle in the Square ,Sweeney Todd,Revival,Musical,Thriller,,"Sep 14, 1989","Feb 25, 1990",188,21,840
805,SweeneyTodd2005,Eugene O'Neill ,Sweeney Todd,Revival,Musical,Thriller,,"Nov 03, 2005","Sep 03, 2006",349,14,1066
806,SweetCharity1986,Minskoff ,Sweet Charity,Revival,Musical,Comedy,,"Apr 27, 1986","Mar 15, 1987",369,30,1710
807,SweetCharity2005,Al Hirschfeld ,Sweet Charity,Revival,Musical,Comedy,,"May 04, 2005","Dec 31, 2005",279,26,1424
808,SweetSmellofSuccess2002,Al Hirschfeld ,Sweet Smell of Success,Original,Musical,Drama,,"Mar 14, 2002","Jun 15, 2002",109,25,1424
809,SweetSue1987,Music Box ,Sweet Sue,Original,Play,,,"Jan 08, 1987","May 31, 1987",164,6,1009
810,Swing!1999,St. James ,Swing!,Original,Musical,Dance,Revue,"Dec 09, 1999","Jan 14, 2001",461,27,1709
811,SwingingonaStar1995,Music Box ,Swinging on a Star,Original,Musical,Revue,,"Oct 22, 1995","Jan 13, 1996",96,11,1009
812,Sylvia2015,Cort ,Sylvia,Original,Play,Comedy,,"Oct 27, 2015","Jan 03, 2016",79,6,1084
813,Taboo2003,Gerald Schoenfeld ,Taboo,Original,Musical,Drama,,"Nov 13, 2003","Feb 08, 2004",100,23,1079
814,TakeMeOut2003,Walter Kerr ,Take Me Out,Original,Play,Drama,Comedy,"Feb 27, 2003","Jan 04, 2004",355,17,945
815,TakingSides1996,Brooks Atkinson ,Taking Sides,Original,Play,,,"Oct 17, 1996","Dec 29, 1996",85,10,1094
816,TakingSteps1991,Circle in the Square ,Taking Steps,Original,Play,,,"Feb 20, 1991","Apr 28, 1991",78,9,840
817,TalkRadio2007,Longacre ,Talk Radio,Original,Play,Drama,,"Mar 11, 2007","Jun 24, 2007",121,14,1091
819,TallerThanaDwarf2000,Longacre ,Taller Than a Dwarf,Original,Play,Comedy,,"Apr 25, 2000","Jun 11, 2000",56,15,1091
820,TangoArgentino1985,Times Square Church,Tango Argentino,Original,Musical,Revue,Dance,"Oct 09, 1985","Mar 30, 1986",199,13,1505
821,TangoArgentino1999,Gershwin ,Tango Argentino,Revival,Musical,Revue,Dance,"Nov 16, 1999","Jan 09, 2000",63,23,1933
822,TangoPasion1993,Longacre ,Tango Pasion,Original,Musical,Dance,,"Apr 28, 1993","May 02, 1993",5,21,1091
823,Tartuffe1996,Circle in the Square ,Tartuffe,Revival,Play,Comedy,Farce,"May 30, 1996","Jun 23, 1996",29,14,840
824,Tartuffe2003,American Airlines ,Tartuffe,Revival,Play,Comedy,Farce,"Jan 09, 2003","Feb 23, 2003",53,20,740
825,Tarzan2006,Richard Rodgers ,Tarzan,Original,Musical,Comedy,,"May 10, 2006","Jul 08, 2007",486,34,1400
826,Teddy&Alice1987,Minskoff ,Teddy & Alice,Original,Musical,,,"Nov 12, 1987","Jan 17, 1988",77,36,1710
827,ThérèseRaquin2015,Studio 54,Thérèse Raquin,Original,Play,Drama,,"Oct 29, 2015","Jan 03, 2016",75,11,1006
828,ThatChampionshipSeason2011,Bernard B. Jacobs ,That Championship Season,Revival,Play,,,"Mar 06, 2011","May 29, 2011",97,9,1078
829,The25thAnnualPutnamCountySpellingBee2005,Circle in the Square ,The 25th Annual Putnam County Spelling Bee,Original,Musical,Comedy,,"May 02, 2005","Jan 20, 2008",1136,13,840
830,The39Steps2008,Cort ,The 39 Steps,Original,Play,Comedy,,"Jan 15, 2008","Jan 10, 2010",771,7,1084
831,TheAddamsFamily2010,Lunt-Fontanne ,The Addams Family,Original,Musical,,,"Apr 08, 2010","Dec 31, 2011",722,26,1519
832,TheAdventuresofTomSawyer2001,Minskoff ,The Adventures of Tom Sawyer,Original,Musical,Comedy,,"Apr 26, 2001","May 13, 2001",21,32,1710
833,TheAmericanPlan2009,Samuel J. Friedman ,The American Plan,Original,Play,,,"Jan 22, 2009","Mar 22, 2009",70,9,650
834,TheAnarchist2012,John Golden ,The Anarchist,Original,Play,Drama,,"Dec 02, 2012","Dec 16, 2012",17,3,805
835,TheAppleTree2006,Studio 54,The Apple Tree,Revival,Musical,Comedy,,"Dec 14, 2006","Mar 11, 2007",99,14,1006
836,TheAssembledParties2013,Samuel J. Friedman ,The Assembled Parties,Original,Play,Drama,,"Apr 17, 2013","Jul 28, 2013",119,13,650
837,TheAudience2015,Gerald Schoenfeld ,The Audience,Original,Play,,,"Mar 08, 2015","Jun 28, 2015",114,18,1079
838,TheBabe1984,Latin Quarter,The Babe,Original,Play,Solo,,"May 17, 1984","May 20, 1984",5,1,499
839,TheBeautyQueenofLeenane1998,Walter Kerr ,The Beauty Queen of Leenane,Original,Play,Drama,,"Apr 23, 1998","Mar 14, 1999",365,4,945
840,TheBestLittleWhorehouseGoesPublic1994,Lunt-Fontanne ,The Best Little Whorehouse Goes Public,Original,Musical,,,"May 10, 1994","May 22, 1994",16,36,1519
841,TheBigKnife2013,American Airlines ,The Big Knife,Revival,Play,,,"Apr 16, 2013","Jun 02, 2013",56,16,740
842,TheBigLove1991,Gerald Schoenfeld ,The Big Love,Original,Play,Solo,,"Mar 03, 1991","Apr 07, 1991",41,1,1079
843,TheBlueRoom1998,Cort ,The Blue Room,Original,Play,,,"Dec 13, 1998","Feb 25, 1999",81,2,1084
844,TheBoyFromOz2003,Imperial ,The Boy From Oz,Original,Musical,,,"Oct 16, 2003","Sep 12, 2004",364,28,1443
845,TheBoysfromSyracuse2002,American Airlines ,The Boys from Syracuse,Revival,Musical,Comedy,,"Aug 18, 2002","Oct 20, 2002",73,26,740
846,TheBoysinAutumn1986,Circle in the Square ,The Boys in Autumn,Original,Play,,,"Apr 30, 1986","Jun 29, 1986",70,4,840
847,TheBoysofWinter1985,Samuel J. Friedman ,The Boys of Winter,Original,Play,,,"Dec 01, 1985","Dec 08, 1985",9,16,650
848,TheBridgesofMadisonCounty2014,Gerald Schoenfeld ,The Bridges of Madison County,Original,Musical,,,"Feb 20, 2014","May 18, 2014",100,19,1079
849,TheCaineMutinyCourt-Martial2006,Gerald Schoenfeld ,The Caine Mutiny Court-Martial,Revival,Play,Drama,,"May 07, 2006","May 21, 2006",17,19,1079
850,TheCapeman1998,Marquis ,The Capeman,Original,Musical,,,"Jan 29, 1998","Mar 28, 1998",68,44,1612
851,TheCaretaker1986,Circle in the Square ,The Caretaker,Revival,Play,Drama,,"Jan 30, 1986","Mar 09, 1986",45,5,840
852,TheCaretaker2003,American Airlines ,The Caretaker,Revival,Play,Drama,,"Nov 09, 2003","Jan 04, 2004",63,5,740
853,TheCemeteryClub1990,Brooks Atkinson ,The Cemetery Club,Original,Play,Comedy,,"May 15, 1990","Jul 01, 1990",56,8,1094
854,TheChairs1998,John Golden ,The Chairs,Revival,Play,Farce,Tragedy,"Apr 01, 1998","Jun 13, 1998",74,4,805
855,TheCherryOrchard1997,Al Hirschfeld ,The Cherry Orchard,Revival,Play,Comedy,,"Oct 30, 1997","Nov 09, 1997",12,15,1424
